"Fell job 
number","Fell job 
number",Tree position,Road Name,Existing tree species,Reason for Removal,Replant species
12019850,12019850,Outside 2,Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12019853,12019853,Outside 3,Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12014486,12014486,Outside 9,Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12019856,12019856,"Outside 6-8, 
between",Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12018163,12018163,Outside 20,Abbeydale Park Rise,Tibetan Cherry,Structural Integrity,Hawthorn
12019858,12019858,"Outside 22-24, 
between",Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12019860,12019860,"Outside 30-32, 
between",Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12019883,12019883,Outside 39,Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12019872,12019872,Outside 95,Abbeydale Park Rise,Rowan,Structural Integrity,Hawthorn
12006353,12006353,Outside 83,Abbeydale Park Rise,Tibetan Cherry,Decay,Hawthorn
12019870,12019870,Outside 64,Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12019874,12019874,Outside 75,Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12019862,12019862,Outside 36,Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12019878,12019878,"Outside 51-53, 
between",Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12019876,12019876,Outside 55,Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12019866,12019866,Outside 42-44,Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12019864,12019864,Outside 38,Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12019881,12019881,Outside 49,Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12019868,12019868,"Outside 56-58, 
between",Abbeydale Park Rise,Tibetan Cherry,Damage to Surface,Hawthorn
12019931,12019931,Outside 8,Ashfurlong Close,Kanzan Cherry,Damage to Surface,Hawthorn
12019933,12019933,Outside 9,Ashfurlong Close,Kanzan Cherry,Structural Integrity,Hawthorn
12019927,12019927,Outside 4,Ashfurlong Close,Kanzan Cherry,Damage to Surface,Hawthorn
12019929,12019929,Outside 6,Ashfurlong Close,Kanzan Cherry,Senescent,Hawthorn
12019923,12019923,Outside 3,Ashfurlong Drive,Apple species,Structural Integrity,Hawthorn
12019925,12019925,Outside 20,Ashfurlong Drive,Apple species,Senescent,Hawthorn
12019919,12019919,Outside 18,Ashfurlong Road,Kanzan Cherry,Damage to Surface,Hawthorn
12019917,12019917,Outside 8,Ashfurlong Road,Kanzan Cherry,Damage to Surface,Hawthorn
12019913,12019913,"Outside 33, 
(bottomside, closer 
to driveway 1 of 2)",Ashfurlong Road,Apple species,Structural Integrity,Hawthorn
12019921,12019921,"Outside 20 
(topside, upper 
most 1 of 2 Outside
20)",Ashfurlong Road,Kanzan Cherry,Damage to Surface,Hawthorn
12019915,12019915,Outside 6,Ashfurlong Road,Kanzan Cherry,Damage to Surface,Hawthorn
12019745,12019745,Outside 18,Blacka Moor Crescent,Whitebeam,Damage to Surface,Cherry
12019747,12019747,Outside 52,Blacka Moor Road,Kanzan Cherry,Damage to Surface,Cherry
12019685,12019685,Outside 1,Brinkburn Vale Road,Common Lime,Damage to Surface,Canadian Maple - October Glory
12019689,12019689,Outside 2,Brinkburn Vale Road,Common Lime,Damage to Surface,Canadian Maple - October Glory
12019687,12019687,adjacent 2,Brinkburn Vale Road,Common Lime,Damage to Surface,Canadian Maple - October Glory
12019691,12019691,Outside 2,Brinkburn Vale Road,Common Lime,Damage to Surface,Canadian Maple - October Glory
12019693,12019693,Outside 6,Brinkburn Vale Road,Common Lime,Damage to Surface,Canadian Maple - October Glory
12019907,12019907,Outside 18,Burlington Road,Hawthorn,Decay,Hawthorn
12019905,12019905,Outside 21,Burlington Road,Tibetan Cherry,Damage to Surface,Hawthorn
12019903,12019903,Outside 33,Burlington Road,Tibetan Cherry,Damage to Surface,Hawthorn
12019911,12019911,Outside 42,Burlington Road,Tibetan Cherry,Damage to Surface,Not Known
12019909,12019909,Outside 40,Burlington Road,Tibetan Cherry,Damage to Surface,Hawthorn
12019901,12019901,Opposite 50,Burlington Road,Apple species,Damage to Surface,Hawthorn
12013988,12013988,Outside 99,Bushey Wood Road,Rowan sp,Unauthorised removal,Mountain Ash
12019789,12019789,Outside 43,Bushey Wood Road,Rowan,Structural Integrity,Mountain Ash
12019791,12019791,Outside 26,Bushey Wood Road,Rowan,Structural Integrity,Mountain Ash
12019785,12019785,Outside 62,Bushey Wood Road,Kanzan Cherry,Carriageway Obstruction,Mountain Ash
12014074,12014074,Outside 114,Bushey Wood Road,Rowan sp,Senescent,Mountain Ash
12019783,12019783,Outside 40,Bushey Wood Road,Apple species,Damage to Surface,Mountain Ash
12019787,12019787,Outside 68,Bushey Wood Road,Kanzan Cherry,Decay,Mountain Ash
12018065,12018065,Outside 122,Bushey Wood Road,Rowan sp,Structural Integrity,Hawthorn
12019711,12019711,Outside 33,Chatsworth Road,Common Lime,Damage to Surface,Lime
