title,description,latitude,longitude
"Outside 2,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.3235973,-1.522107
"Outside 3,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.3236645,-1.5222402
"Outside 9,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.3237807,-1.5227923
"Outside 6-8, between,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.3237429,-1.5224313
"Outside 20,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Structural Integrity,53.323957,-1.5237651
"Outside 22-24, between,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.3240326,-1.5239247
"Outside 30-32, between,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.3243233,-1.524578
"Outside 39,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.3244091,-1.5247969
"Outside 95,Abbeydale Park Rise",A Rowan to be replaced with a Hawthorn because of Structural Integrity,53.3255637,-1.5293678
"Outside 83,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Decay,53.3256877,-1.5282371
"Outside 64,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.325321,-1.52651
"Outside 75,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.3256182,-1.5274995
"Outside 36,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.3246233,-1.5249595
"Outside 51-53, between,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.3246768,-1.5256237
"Outside 55,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.3248459,-1.5257297
"Outside 42-44,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.3246854,-1.525361
"Outside 38,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.3245915,-1.525163
"Outside 49,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.324678,-1.5253752
"Outside 56-58, between,Abbeydale Park Rise",A Tibetan Cherry to be replaced with a Hawthorn because of Damage to Surface,53.3250285,-1.5260986
